2015-12-15 09:37:44.873 | INFO  | onelog.core | [36mStarting [0m:get /account/0x4dbaad248257f143340075e2315b942bf2ce45b7 for 127.0.0.1 {"host" "localhost:3000", "accept-language" "en-US,en;q=0.8,ru;q=0.6,lv;q=0.4", "user-agent" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36", "accept-encoding" "gzip, deflate, sdch", "cache-control" "max-age=0", "referer" "http://localhost:3000/block/0x214fbfe8786c95869aaad3ce67edbf075ebbf4e88eb9140ab5c86c8b5ec84d26", "connection" "keep-alive", "accept" "text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8", "upgrade-insecure-requests" "1"}
2015-12-15 09:37:45.091 | INFO  | onelog.core | [36mFinished [0m:get /account/0x4dbaad248257f143340075e2315b942bf2ce45b7 for 127.0.0.1 in (218 ms) Status: [39m200[0m
2015-12-15 09:37:45.213 | INFO  | onelog.core | [36mStarting [0m:get /css/style.css for 127.0.0.1 {"host" "localhost:3000", "accept-language" "en-US,en;q=0.8,ru;q=0.6,lv;q=0.4", "user-agent" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36", "if-modified-since" "Wed, 28 Oct 2015 03:08:29 +0000", "accept-encoding" "gzip, deflate, sdch", "cache-control" "max-age=0", "referer" "http://localhost:3000/account/0x4dbaad248257f143340075e2315b942bf2ce45b7", "connection" "keep-alive", "accept" "text/css,*/*;q=0.1"}
2015-12-15 09:37:45.215 | INFO  | onelog.core | [36mFinished [0m:get /css/style.css for 127.0.0.1 in (3 ms) Status: [33m304[0m
2015-12-15 09:38:43.914 | INFO  | onelog.core | [36mStarting [0m:get /account/0x4dbaad248257f143340075e2315b942bf2ce45b7 for 127.0.0.1 {"host" "localhost:3000", "accept-language" "en-US,en;q=0.8,ru;q=0.6,lv;q=0.4", "user-agent" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36", "accept-encoding" "gzip, deflate, sdch", "cache-control" "max-age=0", "referer" "http://localhost:3000/block/0x214fbfe8786c95869aaad3ce67edbf075ebbf4e88eb9140ab5c86c8b5ec84d26", "connection" "keep-alive", "accept" "text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8", "upgrade-insecure-requests" "1"}
2015-12-15 09:38:44.827 | INFO  | onelog.core | [36mFinished [0m:get /account/0x4dbaad248257f143340075e2315b942bf2ce45b7 for 127.0.0.1 in ([31m914[0m ms) Status: [39m200[0m
2015-12-15 09:38:44.953 | INFO  | onelog.core | [36mStarting [0m:get /css/style.css for 127.0.0.1 {"host" "localhost:3000", "accept-language" "en-US,en;q=0.8,ru;q=0.6,lv;q=0.4", "user-agent" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36", "if-modified-since" "Wed, 28 Oct 2015 03:08:29 +0000", "accept-encoding" "gzip, deflate, sdch", "cache-control" "max-age=0", "referer" "http://localhost:3000/account/0x4dbaad248257f143340075e2315b942bf2ce45b7", "connection" "keep-alive", "accept" "text/css,*/*;q=0.1"}
2015-12-15 09:38:44.958 | INFO  | onelog.core | [36mFinished [0m:get /css/style.css for 127.0.0.1 in (5 ms) Status: [33m304[0m
2015-12-15 09:39:04.446 | INFO  | onelog.core | [36mStarting [0m:get /index/top for 127.0.0.1 {"host" "localhost:3000", "accept-language" "en-US,en;q=0.8,ru;q=0.6,lv;q=0.4", "user-agent" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36", "accept-encoding" "gzip, deflate, sdch", "referer" "http://localhost:3000/account/0x4dbaad248257f143340075e2315b942bf2ce45b7", "connection" "keep-alive", "accept" "text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8", "upgrade-insecure-requests" "1"}
2015-12-15 09:39:04.621 | INFO  | onelog.core | [36mFinished [0m:get /index/top for 127.0.0.1 in (176 ms) Status: [39m200[0m
